g_id,omim_id,hpo_ids
ACSL4,OMIM:300387,"['HP:0000739', 'HP:0000729', 'HP:0000729', 'HP:0000252', 'HP:0000750', 'HP:0001249', 'HP:0001249', 'HP:0001347', 'HP:0011463', 'HP:0001423', 'HP:0001252']"
ACTA1,OMIM:161800,"['HP:0001265', 'HP:0001319', 'HP:0001347', 'HP:0003458', 'HP:0003690', 'HP:0001284', 'HP:0001561', 'HP:0003803', 'HP:0000218', 'HP:0003722', 'HP:0003307', 'HP:0001270', 'HP:0003445', 'HP:0002650', 'HP:0008180', 'HP:0002058', 'HP:0002015', 'HP:0002063', 'HP:0003306', 'HP:0001644', 'HP:0000007', 'HP:0001558', 'HP:0002804', 'HP:0002515', 'HP:0001283', 'HP:0000006', 'HP:0003324', 'HP:0010628', 'HP:0003810', 'HP:0002747', 'HP:0002359', 'HP:0001533', 'HP:0000298', 'HP:0003701', 'HP:0000278', 'HP:0003798', 'HP:0008872', 'HP:0001761', 'HP:0001425']"
ACTA1,OMIM:255310,"['HP:0010628', 'HP:0001283', 'HP:0011968', 'HP:0003687', 'HP:0002747', 'HP:0001558', 'HP:0002938', 'HP:0003577', 'HP:0002650', 'HP:0001425', 'HP:0001508', 'HP:0003701', 'HP:0032341', 'HP:0001612', 'HP:0002093', 'HP:0000006', 'HP:0002015', 'HP:0001644', 'HP:0000275', 'HP:0001319', 'HP:0003755', 'HP:0003828', 'HP:0000508', 'HP:0003121', 'HP:0000602', 'HP:0001374', 'HP:0000276', 'HP:0003324', 'HP:0000007', 'HP:0000218']"
ACTA1,OMIM:616852,"['HP:0011462', 'HP:0003677', 'HP:0003687', 'HP:0001284', 'HP:0003557', 'HP:0031189', 'HP:0003722', 'HP:0009130', 'HP:0000006', 'HP:0003323', 'HP:0009025', 'HP:0010628', 'HP:0001265', 'HP:0001771', 'HP:0003691', 'HP:0003307', 'HP:0003593', 'HP:0009027']"
ACTA2,OMIM:611788,"['HP:0033505', 'HP:0000006', 'HP:0005181', 'HP:0004933', 'HP:0004933', 'HP:0004970', 'HP:0500007', 'HP:0011834', 'HP:0012499']"
ACTA2,OMIM:613834,"['HP:0002566', 'HP:0000822', 'HP:0007866', 'HP:0000006', 'HP:0100770', 'HP:0000028', 'HP:0001643', 'HP:0002092', 'HP:0012727', 'HP:0011499', 'HP:0002789', 'HP:0004944', 'HP:0030891']"
ACTA2,OMIM:614042,"['HP:0004970', 'HP:0000006', 'HP:0011834']"
ACTB,OMIM:243310,"['HP:0000028', 'HP:0000369', 'HP:0011800', 'HP:0001252', 'HP:0000568', 'HP:0002119', 'HP:0001643', 'HP:0004322', 'HP:0002553', 'HP:0001647', 'HP:0000637', 'HP:0001250', 'HP:0000431', 'HP:0000054', 'HP:0000252', 'HP:0010066', 'HP:0000154', 'HP:0000612', 'HP:0000407', 'HP:0000006', 'HP:0000470', 'HP:0000567', 'HP:0001249', 'HP:0008897', 'HP:0001290', 'HP:0000204', 'HP:0000202', 'HP:0000396', 'HP:0001302', 'HP:0003196', 'HP:0000286', 'HP:0001274', 'HP:0000243', 'HP:0000343', 'HP:0000508', 'HP:0001508', 'HP:0000307', 'HP:0000316', 'HP:0000278', 'HP:0000219', 'HP:0000219', 'HP:0000463', 'HP:0001650', 'HP:0002162', 'HP:0001263']"
ACTB,OMIM:607371,"['HP:0011342', 'HP:0000518', 'HP:0001518', 'HP:0001256', 'HP:0002571', 'HP:0000204', 'HP:0000348', 'HP:0000882', 'HP:0008796', 'HP:0000006', 'HP:0000175', 'HP:0000407', 'HP:0007325', 'HP:0002751']"
ACTC1,OMIM:612098,"['HP:0011675', 'HP:0000006', 'HP:0001639']"
ACTC1,OMIM:612794,"['HP:0000006', 'HP:0001631']"
ACTC1,OMIM:613424,"['HP:0001723', 'HP:0001712', 'HP:0000006', 'HP:0030682', 'HP:0004308', 'HP:0001644', 'HP:0001635']"
ACTG1,OMIM:604717,"['HP:0000408', 'HP:0008619', 'HP:0000006', 'HP:0011462']"
